Geo_Point;Geo_Shape;nom;street;No
43.5985644556, 1.43505005327;{"type": "Point", "coordinates": [1.435050053267574, 43.59856445556356]};REPUBLIQUE - PLACE OLIVIER;RUE DE LA REPUBLIQUE;34
43.606136318, 1.44135064795;{"type": "Point", "coordinates": [1.441350647947544, 43.60613631802489]};LOIS -  ESQUILE;RUE DE L ESQUILE;1
43.6104694123, 1.4527560251;{"type": "Point", "coordinates": [1.45275602509899, 43.610469412286804]};BONREPOS;BD DE BONREPOS;8T
43.6126464509, 1.44845740689;{"type": "Point", "coordinates": [1.44845740689087, 43.61264645090925]};ROQUELAINE;PL ROQUELAINE;32
43.5932599871, 1.4350626278;{"type": "Point", "coordinates": [1.435062627804635, 43.593259987104005]};COURS DILLON;RUE LAGANNE;3
43.5995803722, 1.441400726;{"type": "Point", "coordinates": [1.441400725999804, 43.59958037216279]};COUTELIERS -  METZ;RUE DES COUTELIERS;52
43.6020011332, 1.41484301583;{"type": "Point", "coordinates": [1.414843015834944, 43.60200113321408]};FONTAINES MILHES;RUE DES FONTAINES;190
43.6197021555, 1.42917415173;{"type": "Point", "coordinates": [1.429174151725691, 43.6197021555423]};CHAUSSAS DAUDET;RUE DE CHAUSSAS;96
43.5795579841, 1.44194779748;{"type": "Point", "coordinates": [1.4419477974753, 43.57955798406746]};METRO EMPALOT;AV JEAN MOULIN;38
43.5829164365, 1.44859626279;{"type": "Point", "coordinates": [1.448596262790887, 43.58291643650024]};URSS RECOLLETS;AV DE L URSS;16B
43.5808838977, 1.44916001925;{"type": "Point", "coordinates": [1.449160019247092, 43.58088389771854]};URSS ST THOMAS D AQUIN;AV DE L URSS;55
43.5766426282, 1.45484622844;{"type": "Point", "coordinates": [1.454846228441906, 43.57664262821756]};RANGUEIL BEDOUCE;AV DE RANGUEIL;35
43.576865802, 1.46013616858;{"type": "Point", "coordinates": [1.460136168583298, 43.57686580199079]};AVIONS LIBELLULES;AV DES AVIONS;35
43.6428719804, 1.46110410307;{"type": "Point", "coordinates": [1.461104103073536, 43.642871980395505]};RPT POINT LAFFORGUE;RPT DE L ABBE G. LAFFORGUE;0
43.6369206349, 1.45267805539;{"type": "Point", "coordinates": [1.452678055388736, 43.63692063493003]};BOURGES MAUNOURY MELAT;AV MAURICE BOURGES MAUNOURY;41
43.6193116595, 1.46872867952;{"type": "Point", "coordinates": [1.468728679515408, 43.619311659537054]};PLACE DE LA ROSERAIE;AV YVES BRUNAUD;98
43.6169503757, 1.4736208229;{"type": "Point", "coordinates": [1.473620822896019, 43.61695037566303]};CASSAING PLANA;CHE CASSAING;4
43.6271953439, 1.46560543398;{"type": "Point", "coordinates": [1.465605433980293, 43.62719534391426]};ROUBICHOU ARLES;RUE ROUBICHOU;30
43.5815292409, 1.42546059831;{"type": "Point", "coordinates": [1.425460598314955, 43.58152924085271]};MURET BOUTINON;AV DE MURET;44
43.5773029258, 1.42399290177;{"type": "Point", "coordinates": [1.42399290177347, 43.57730292582678]};OUSTALOUS;RTE D ESPAGNE;39
43.587777109, 1.40955573438;{"type": "Point", "coordinates": [1.409555734375369, 43.58777710897651]};ST SIMON PRADO;RTE DE SAINT SIMON;355
43.6018357449, 1.45801583559;{"type": "Point", "coordinates": [1.458015835593863, 43.60183574489812]};GOUJON PUJOL;RUE JEAN GOUJON;10
43.6003011978, 1.46404891285;{"type": "Point", "coordinates": [1.464048912851146, 43.60030119779862]};CASERNE PERIGNON;AV LOUIS BLERIOT;6
43.5914894288, 1.47001711409;{"type": "Point", "coordinates": [1.470017114088184, 43.591489428754166]};DELTOUR RIEUX;BD DELTOUR;4
43.5911810321, 1.4800885792;{"type": "Point", "coordinates": [1.480088579202143, 43.591181032149976]};LIMAYRAC DARASSE;ALL DE LIMAYRAC;
43.5895508476, 1.47888635352;{"type": "Point", "coordinates": [1.478886353524036, 43.589550847633085]};BAROUX DARASSE;AV LUCIEN BAROUX;4
43.6410709316, 1.46647604379;{"type": "Point", "coordinates": [1.46647604379252, 43.64107093158611]};ALBI PELET;RTE D ALBI;191
43.6238241259, 1.47593975587;{"type": "Point", "coordinates": [1.475939755873738, 43.62382412586767]};METRO ARGOULETS;RUE DE GAILLAC;8
43.6276650594, 1.46194309592;{"type": "Point", "coordinates": [1.46194309591631, 43.62766505935879]};AMOUROUX SAINTE AUGUSTINE;CHE AMOUROUX;24B
43.5680384337, 1.4644474838;{"type": "Point", "coordinates": [1.464447483795627, 43.56803843370946]};METRO PHARMACIE;CHE DES MARAICHERS;35
43.5673543907, 1.46778361536;{"type": "Point", "coordinates": [1.467783615355583, 43.56735439073572]};RANGUEIL TRIPODE B;AV DE RANGUEIL;141
43.5769775349, 1.46949669041;{"type": "Point", "coordinates": [1.469496690406513, 43.576977534904564]};LESPINET HERBETTES;AV DE LESPINET;127
